card,city,date,event,fightRound,fighterOne,fighterOneUrl,fighterTwo,fighterTwoUrl,method,notes,result,roundTime,weightclass
,"San Diego, California","April 9, 2011",Strikeforce: Diaz vs. Daley,1,Nick Diaz,/wiki/Nick_Diaz,Paul Daley,/wiki/Paul_Daley,TKO (punches),,def.,04:57,Welterweight
,"San Diego, California","April 9, 2011",Strikeforce: Diaz vs. Daley,1,Gilbert Melendez,/wiki/Gilbert_Melendez,Tatsuya Kawajiri,/wiki/Tatsuya_Kawajiri,TKO (elbows),,def.,03:14,Lightweight
,"San Diego, California","April 9, 2011",Strikeforce: Diaz vs. Daley,3,Gegard Mousasi,/wiki/Gegard_Mousasi,Keith Jardine,/wiki/Keith_Jardine,"Draw (majority) (29â€“27, 28â€“28, 28â€“28)",,vs.,05:00,Light Heavyweight
,"San Diego, California","April 9, 2011",Strikeforce: Diaz vs. Daley,1,Shinya Aoki,/wiki/Shinya_Aoki,Lyle Beerbohm,/wiki/Lyle_Beerbohm,Submission (neck crank),,def.,01:33,Lightweight
,"San Diego, California","April 9, 2011",Strikeforce: Diaz vs. Daley,1,Casey Ryan,,Paul Song,,Submission (triangle choke),,def.,01:39,Middleweight
,"San Diego, California","April 9, 2011",Strikeforce: Diaz vs. Daley,3,Rolando Perez,/wiki/Rolando_Perez,Edgar Cardenas,,"Decision (unanimous) (30â€“27, 30â€“27, 30â€“27)",,def.,05:00,Catchweight (140 lbs)
,"San Diego, California","April 9, 2011",Strikeforce: Diaz vs. Daley,1,Herman Terrado,/wiki/Herman_Terrado,AJ Matthews,/wiki/AJ_Matthews,KO (punch),,def.,04:16,Welterweight
,"San Diego, California","April 9, 2011",Strikeforce: Diaz vs. Daley,2,Joe Duarte,/wiki/Joe_Duarte,Saad Awad,/wiki/Saad_Awad,Submission (armbar),,def.,02:45,Lightweight
,"San Diego, California","April 9, 2011",Strikeforce: Diaz vs. Daley,1,Virgil Zwicker,/wiki/Virgil_Zwicker,Brett Albee,,TKO (strikes),,def.,01:46,Heavyweight
,"San Diego, California","April 9, 2011",Strikeforce: Diaz vs. Daley,3,Robbie Peralta,/wiki/Robbie_Peralta,Hiroyuki Takaya,/wiki/Hiroyuki_Takaya,"Decision (split) (30â€“27, 30â€“27, 28â€“29)",,def.,05:00,Featherweight
,"Dallas, Texas","June 18, 2011",Strikeforce: Overeem vs. Werdum,3,Alistair Overeem,/wiki/Alistair_Overeem,FabrÃ_cio Werdum,/wiki/Fabr%C3%ADcio_Werdum,"Decision (unanimous) (30â€“27, 30â€“27, 29â€“28)",,def.,05:00,Heavyweight
,"Dallas, Texas","June 18, 2011",Strikeforce: Overeem vs. Werdum,2,Josh Barnett,/wiki/Josh_Barnett,Brett Rogers,/wiki/Brett_Rogers,Submission (arm triangle choke),,def.,01:17,Heavyweight
,"Dallas, Texas","June 18, 2011",Strikeforce: Overeem vs. Werdum,3,Jorge Masvidal,/wiki/Jorge_Masvidal,K.J. Noons,/wiki/K.J._Noons,"Decision (unanimous) (30â€“27, 30â€“27, 30â€“27)",,def.,05:00,Lightweight
,"Dallas, Texas","June 18, 2011",Strikeforce: Overeem vs. Werdum,3,Daniel Cormier,/wiki/Daniel_Cormier,Jeff Monson,/wiki/Jeff_Monson,"Decision (unanimous) (30â€“27, 30â€“27, 30â€“27)",,def.,05:00,Heavyweight
