city,date,fightClass,fightRound,fighterOne,fighterOneResult,fighterOneUrl,fighterTwo,fighterTwoUrl,method,promotion,time,venue
Anaheim,"September 23, 2006",Lightweight,1,Joe Lauzon,def.,/wiki/Joe_Lauzon,Jens Pulver,/wiki/Jens_Pulver,TKO (punch),Ultimate Fighting Championship,0:48,Arrowhead Pond
Anaheim,"September 23, 2006",Lightweight,3,Roger Huerta,def.,/wiki/Roger_Huerta,Jason Dent,/wiki/Jason_Dent,"Decision (unanimous) (30–27, 30–27, 30–27)",Ultimate Fighting Championship,5:00,Arrowhead Pond
Anaheim,"September 23, 2006",Heavyweight,2,Eddie Sanchez,def.,/wiki/Eddie_Sanchez,Mario Neto,/wiki/Mario_Neto,KO (punches),Ultimate Fighting Championship,0:17,Arrowhead Pond
Anaheim,"September 23, 2006",Lightweight,3,Jorge Gurgel,def.,/wiki/Jorge_Gurgel,,,"Decision (split) (28–29, 29–28, 29–28)",Ultimate Fighting Championship,5:00,Arrowhead Pond
Anaheim,"September 23, 2006",Lightweight,1,Tyson Griffin,def.,/wiki/Tyson_Griffin,,,Submission (rear-naked choke),Ultimate Fighting Championship,1:50,Arrowhead Pond
"Hollywood, Florida","October 10, 2006",Light Heavyweight,1,Tito Ortiz,def.,/wiki/Tito_Ortiz,Ken Shamrock,/wiki/Ken_Shamrock,TKO (punches),Ultimate Fighting Championship,2:23,Seminole Hard Rock Hotel and Casino
"Hollywood, Florida","October 10, 2006",Middleweight,1,Kendall Grove,def.,/wiki/Kendall_Grove,,,Submission (elbows),Ultimate Fighting Championship,3:59,Seminole Hard Rock Hotel and Casino
"Hollywood, Florida","October 10, 2006",Middleweight,1,Jason MacDonald,def.,/wiki/Jason_MacDonald,Ed Herman,/wiki/Ed_Herman_(mixed_martial_artist),Submission (triangle choke),Ultimate Fighting Championship,2:43,Seminole Hard Rock Hotel and Casino
"Hollywood, Florida","October 10, 2006",Light Heavyweight,3,Matt Hamill,def.,/wiki/Matt_Hamill,Seth Petruzelli,/wiki/Seth_Petruzelli,"Decision (unanimous) (29–28, 30–27, 29–28)",Ultimate Fighting Championship,5:00,Seminole Hard Rock Hotel and Casino
"Hollywood, Florida","October 10, 2006",Middleweight,2,Nate Marquardt,def.,/wiki/Nate_Marquardt,Crafton Wallace,/wiki/Crafton_Wallace,Submission (rear-naked choke),Ultimate Fighting Championship,1:14,Seminole Hard Rock Hotel and Casino
"Hollywood, Florida","October 10, 2006",Welterweight,1,Tony DeSouza,def.,/wiki/Tony_DeSouza,Dustin Hazelett,/wiki/Dustin_Hazelett,Submission (kimura),Ultimate Fighting Championship,3:59,Seminole Hard Rock Hotel and Casino
"Hollywood, Florida","October 10, 2006",Middleweight,3,Rory Singer,def.,/wiki/Rory_Singer,Josh Haynes,/wiki/Josh_Haynes,"Decision (unanimous) (29–28, 29–28, 29–28)",Ultimate Fighting Championship,5:00,Seminole Hard Rock Hotel and Casino
"Hollywood, Florida","October 10, 2006",Welterweight,3,Thiago Alves,def.,/wiki/Thiago_Alves_(fighter),John Alessio,/wiki/John_Alessio,"Decision (unanimous) (30–27, 30–27, 30–27)",Ultimate Fighting Championship,5:00,Seminole Hard Rock Hotel and Casino
"Hollywood, Florida","October 10, 2006",Welterweight,1,Marcus Davis,def.,/wiki/Marcus_Davis,Forrest Petz,/wiki/Forrest_Petz,Submission (guillotine choke),Ultimate Fighting Championship,4:58,Seminole Hard Rock Hotel and Casino
"Las Vegas, Nevada","October 14, 2006",Middleweight,1,Anderson Silva,def.,/wiki/Anderson_Silva,Rich Franklin,/wiki/Rich_Franklin,TKO (knee),Ultimate Fighting Championship,2:59,Mandalay Bay Events Center
"Las Vegas, Nevada","October 14, 2006",Lightweight,5,Sean Sherk,def.,/wiki/Sean_Sherk,Kenny Florian,/wiki/Kenny_Florian,"Decision (unanimous) (49–46, 49–46, 50–48)",Ultimate Fighting Championship,5:00,Mandalay Bay Events Center
"Las Vegas, Nevada","October 14, 2006",Welterweight,3,Jon Fitch,def.,/wiki/Jon_Fitch,Kuniyoshi Hironaka,/wiki/Kuniyoshi_Hironaka,"Decision (unanimous) (30–25, 30–27, 30–27)",Ultimate Fighting Championship,5:00,Mandalay Bay Events Center
"Las Vegas, Nevada","October 14, 2006",Heavyweight,3,Carmelo Marrero,def.,/wiki/Carmelo_Marrero,Cheick Kongo,/wiki/Cheick_Kongo,"Decision (split) (29–28, 28–29, 29–28)",Ultimate Fighting Championship,5:00,Mandalay Bay Events Center
"Las Vegas, Nevada","October 14, 2006",Lightweight,1,Spencer Fisher,def.,/wiki/Spencer_Fisher,Dan Lauzon,/wiki/Dan_Lauzon,TKO (punches),Ultimate Fighting Championship,4:38,Mandalay Bay Events Center
"Las Vegas, Nevada","October 14, 2006",Middleweight,3,Yushin Okami,def.,/wiki/Yushin_Okami,Kalib Starnes,/wiki/Kalib_Starnes,TKO (punches),Ultimate Fighting Championship,1:40,Mandalay Bay Events Center
"Las Vegas, Nevada","October 14, 2006",Lightweight,2,Clay Guida,def.,/wiki/Clay_Guida,,,Submission (rear-naked choke),Ultimate Fighting Championship,4:42,Mandalay Bay Events Center
"Las Vegas, Nevada","October 14, 2006",Lightweight,1,Kurt Pellegrino,def.,/wiki/Kurt_Pellegrino,Júnior Assunção,/wiki/J%C3%BAnior_Assun%C3%A7%C3%A3o,Submission (rear-naked choke),Ultimate Fighting Championship,2:04,Mandalay Bay Events Center
Craig Piligian,", ",Welterweight,3,Matt Serra,def.,/wiki/Matt_Serra,Chris Lytle,/wiki/Chris_Lytle,"Decision (split) (30–27, 27–30, 30–27)",Reality,5:00,Sports
Craig Piligian,", ",Middleweight,1,Travis Lutter,def.,/wiki/Travis_Lutter,Patrick Côté,/wiki/Patrick_C%C3%B4t%C3%A9_(fighter),Submission (armbar),Reality,2:18,Sports
Craig Piligian,", ",Lightweight,2,Din Thomas,def.,/wiki/Din_Thomas,Rich Clementi,/wiki/Rich_Clementi,Submission (rear-naked choke),Reality,3:11,Sports
Craig Piligian,", ",Middleweight,1,Jorge Rivera,def.,/wiki/Jorge_Rivera_(fighter),Edwin Dewees,/wiki/Edwin_Dewees,TKO (punches),Reality,2:38,Sports
Craig Piligian,", ",Welterweight,2,Pete Spratt,def.,/wiki/Pete_Spratt,Jeremy Jackson,/wiki/Jeremy_Jackson_(fighter),Submission (neck injury),Reality,1:11,Sports
Craig Piligian,", ",Middleweight,2,Scott Smith,def.,/wiki/Scott_Smith_(fighter),Pete Sell,/wiki/Pete_Sell,KO (punch),Reality,3:25,Sports
Craig Piligian,", ",Middleweight,1,Charles McCarthy,def.,/wiki/Charles_McCarthy_(fighter),Gideon Ray,/wiki/Gideon_Ray,Submission (armbar),Reality,4:43,Sports
Craig Piligian,", ",Middleweight,3,Martin Kampmann,def.,/wiki/Martin_Kampmann,Thales Leites,/wiki/Thales_Leites,"Decision (unanimous) (29–28, 29–27, 29–27)",Reality,5:00,Sports
city,date,fightClass,fightRound,fighterOne,fighterOneResult,fighterOneUrl,fighterTwo,fighterTwoUrl,method,promotion,time,venue
Sacramento,"November 18, 2006",Welterweight,2,Georges St-Pierre,def.,/wiki/Georges_St-Pierre,Matt Hughes,/wiki/Matt_Hughes_(fighter),KO (head kick and punches),Ultimate Fighting Championship,1:25,ARCO Arena
Sacramento,"November 18, 2006",Heavyweight,5,Tim Sylvia,def.,/wiki/Tim_Sylvia,Jeff Monson,/wiki/Jeff_Monson,"Decision (unanimous) (50–45, 49–46, 49–46)",Ultimate Fighting Championship,5:00,ARCO Arena
Sacramento,"November 18, 2006",Light Heavyweight,1,Drew McFedries,def.,/wiki/Drew_McFedries,Alessio Sakara,/wiki/Alessio_Sakara,TKO (punches),Ultimate Fighting Championship,4:07,ARCO Arena
Sacramento,"November 18, 2006",Heavyweight,1,Brandon Vera,def.,/wiki/Brandon_Vera,Frank Mir,/wiki/Frank_Mir,TKO (punches),Ultimate Fighting Championship,1:09,ARCO Arena
Sacramento,"November 18, 2006",Lightweight,1,Joe Stevenson,def.,/wiki/Joe_Stevenson,Dokonjonosuke Mishima,/wiki/Dokonjonosuke_Mishima,Submission (guillotine choke),Ultimate Fighting Championship,2:07,ARCO Arena
Sacramento,"November 18, 2006",Welterweight,2,Nick Diaz,def.,/wiki/Nick_Diaz,Gleison Tibau,/wiki/Gleison_Tibau,TKO (punches),Ultimate Fighting Championship,2:27,ARCO Arena
Sacramento,"November 18, 2006",Heavyweight,1,Antoni Hardonk,def.,/wiki/Antoni_Hardonk,Sherman Pendergarst,/wiki/Sherman_Pendergarst,KO (leg kick),Ultimate Fighting Championship,3:15,ARCO Arena
Sacramento,"November 18, 2006",Light Heavyweight,2,James Irvin,def.,/wiki/James_Irvin_(fighter),Hector Ramirez,/wiki/Hector_Ramirez_(fighter),TKO (punch and elbows),Ultimate Fighting Championship,2:36,ARCO Arena
Sacramento,"November 18, 2006",Heavyweight,3,Jake O'Brien,def.,/wiki/Jake_O%27Brien,,,"Decision (unanimous) (30–27, 30–27, 30–27)",Ultimate Fighting Championship,5:00,ARCO Arena
San Diego,"December 13, 2006",Welterweight,1,Diego Sanchez,def,/wiki/Diego_Sanchez,Joe Riggs,/wiki/Joe_Riggs,KO (knee and punches),Ultimate Fighting Championship,1:45,MCAS Miramar
San Diego,"December 13, 2006",Welterweight,3,Josh Koscheck,def,/wiki/Josh_Koscheck,,,"Decision (unanimous) (30–27, 30–27, 30–27)",Ultimate Fighting Championship,5:00,MCAS Miramar
San Diego,"December 13, 2006",Welterweight,3,Karo Parisyan,def,/wiki/Karo_Parisyan,Drew Fickett,/wiki/Drew_Fickett,"Decision (unanimous) (30–27, 30–27, 30–27)",Ultimate Fighting Championship,5:00,MCAS Miramar
San Diego,"December 13, 2006",Welterweight,3,Marcus Davis,def,/wiki/Marcus_Davis,Shonie Carter,/wiki/Shonie_Carter,"Decision (unanimous) (30–26, 29–28, 30–27)",Ultimate Fighting Championship,5:00,MCAS Miramar
San Diego,"December 13, 2006",Middleweight,3,Alan Belcher,def,/wiki/Alan_Belcher,Jorge Santiago,/wiki/Jorge_Santiago,KO (head kick),Ultimate Fighting Championship,2:45,MCAS Miramar
San Diego,"December 13, 2006",Welterweight,1,Luigi Fioravanti,def,/wiki/Luigi_Fioravanti,Dave Menne,/wiki/Dave_Menne,TKO (punches),Ultimate Fighting Championship,4:44,MCAS Miramar
San Diego,"December 13, 2006",Light Heavyweight,3,David Heath,def,/wiki/David_Heath_(fighter),,,"Decision (split) (29–28, 28–29, 29–28)",Ultimate Fighting Championship,5:00,MCAS Miramar
San Diego,"December 13, 2006",Welterweight,3,Brock Larson,def,/wiki/Brock_Larson,Keita Nakamura,/wiki/Keita_Nakamura,"Decision (unanimous) (29–28, 29–28, 29–28)",Ultimate Fighting Championship,5:00,MCAS Miramar
San Diego,"December 13, 2006",Middleweight,3,Logan Clark,def.,,Steve Byrnes,,"Decision (unanimous) (30–27, 30–27, 29–28)",Ultimate Fighting Championship,5:00,MCAS Miramar
"Las Vegas, Nevada","December 30, 2006",Light Heavyweight,3,Chuck Liddell,def.,/wiki/Chuck_Liddell,Tito Ortiz,/wiki/Tito_Ortiz,TKO (punches),Ultimate Fighting Championship,3:59,MGM Grand Garden Arena
"Las Vegas, Nevada","December 30, 2006",Light Heavyweight,1,Keith Jardine,def.,/wiki/Keith_Jardine,Forrest Griffin,/wiki/Forrest_Griffin,TKO (punches),Ultimate Fighting Championship,4:41,MGM Grand Garden Arena
"Las Vegas, Nevada","December 30, 2006",Middleweight,2,Jason MacDonald,def.,/wiki/Jason_MacDonald,Chris Leben,/wiki/Chris_Leben,Submission (choke),Ultimate Fighting Championship,4:03,MGM Grand Garden Arena
"Las Vegas, Nevada","December 30, 2006",Heavyweight,1,Andrei Arlovski,def.,/wiki/Andrei_Arlovski,Marcio Cruz,/wiki/Marcio_Cruz,KO (punch),Ultimate Fighting Championship,3:15,MGM Grand Garden Arena
"Las Vegas, Nevada","December 30, 2006",Light Heavyweight,1,Michael Bisping,def.,/wiki/Michael_Bisping,Eric Schafer,/wiki/Eric_Schafer,TKO (punches),Ultimate Fighting Championship,4:24,MGM Grand Garden Arena
"Las Vegas, Nevada","December 30, 2006",Welterweight,2,Thiago Alves,def.,/wiki/Thiago_Alves_(fighter),Tony DeSouza,/wiki/Tony_DeSouza,KO (knee),Ultimate Fighting Championship,1:10,MGM Grand Garden Arena
"Las Vegas, Nevada","December 30, 2006",Heavyweight,1,Gabriel Gonzaga,def.,/wiki/Gabriel_Gonzaga,Carmelo Marrero,/wiki/Carmelo_Marrero,Submission (armbar),Ultimate Fighting Championship,3:22,MGM Grand Garden Arena
"Las Vegas, Nevada","December 30, 2006",Middleweight,3,Yushin Okami,def.,/wiki/Yushin_Okami,Rory Singer,/wiki/Rory_Singer,Submission (punches),Ultimate Fighting Championship,4:03,MGM Grand Garden Arena
"Las Vegas, Nevada","December 30, 2006",Heavyweight,3,Christian Wellisch,def.,/wiki/Christian_Wellisch,Anthony Perosh,/wiki/Anthony_Perosh,"Decision (unanimous) (29–28, 29–27, 29–28)",Ultimate Fighting Championship,5:00,MGM Grand Garden Arena
"Hollywood, Florida","January 25, 2007",Light Heavyweight,2,Rashad Evans,def.,/wiki/Rashad_Evans,Sean Salmon,/wiki/Sean_Salmon,KO (head kick),Ultimate Fighting Championship,1:06,Seminole Hard Rock Hotel and Casino
"Hollywood, Florida","January 25, 2007",Heavyweight,3,Jake O'Brien,def.,/wiki/Jake_O%27Brien,Heath Herring,/wiki/Heath_Herring,"Decision (unanimous) (29–28, 30–27, 30–27)",Ultimate Fighting Championship,5:00,Seminole Hard Rock Hotel and Casino
"Hollywood, Florida","January 25, 2007",Lightweight,2,Hermes Franca,def.,/wiki/Hermes_Franca,Spencer Fisher,/wiki/Spencer_Fisher,TKO (punches),Ultimate Fighting Championship,4:03,Seminole Hard Rock Hotel and Casino
"Hollywood, Florida","January 25, 2007",Middleweight,3,Nate Marquardt,def.,/wiki/Nate_Marquardt,Dean Lister,/wiki/Dean_Lister,"Decision (unanimous) (30–27, 30–25, 30–25)",Ultimate Fighting Championship,5:00,Seminole Hard Rock Hotel and Casino
"Hollywood, Florida","January 25, 2007",Welterweight,3,Josh Burkman,def.,/wiki/Josh_Burkman,Chad Reiner,/wiki/Chad_Reiner,"Decision (unanimous) (29–28, 29–28, 30–27)",Ultimate Fighting Championship,5:00,Seminole Hard Rock Hotel and Casino
"Hollywood, Florida","January 25, 2007",Middleweight,1,Ed Herman,def.,/wiki/Ed_Herman_(mixed_martial_artist),,,Submission (armbar),Ultimate Fighting Championship,2:58,Seminole Hard Rock Hotel and Casino
"Hollywood, Florida","January 25, 2007",Lightweight,3,Din Thomas,def.,/wiki/Din_Thomas,Clay Guida,/wiki/Clay_Guida,"Decision (unanimous) (29–28, 29–28, 29–28)",Ultimate Fighting Championship,5:00,Seminole Hard Rock Hotel and Casino
"Hollywood, Florida","January 25, 2007",Welterweight,2,Rich Clementi,def.,/wiki/Rich_Clementi,Ross Pointon,/wiki/Ross_Pointon,Submission (rear-naked choke),Ultimate Fighting Championship,4:53,Seminole Hard Rock Hotel and Casino
"Las Vegas, Nevada","February 3, 2007",Middleweight,2,Anderson Silva,def.,/wiki/Anderson_Silva,Travis Lutter,/wiki/Travis_Lutter,Submission (triangle choke with elbows),Ultimate Fighting Championship,2:11,Mandalay Bay Events Center
"Las Vegas, Nevada","February 3, 2007",Heavyweight,1,Mirko Filipovic,def.,/wiki/Mirko_Filipovic,Eddie Sanchez,/wiki/Eddie_Sanchez,TKO (punches),Ultimate Fighting Championship,4:33,Mandalay Bay Events Center
"Las Vegas, Nevada","February 3, 2007",Light Heavyweight,2,Quinton Jackson,def.,/wiki/Quinton_Jackson,Marvin Eastman,/wiki/Marvin_Eastman,KO (punches),Ultimate Fighting Championship,3:49,Mandalay Bay Events Center
"Las Vegas, Nevada","February 3, 2007",Lightweight,1,Roger Huerta,def.,/wiki/Roger_Huerta,,,TKO (punches),Ultimate Fighting Championship,0:18,Mandalay Bay Events Center
"Las Vegas, Nevada","February 3, 2007",Middleweight,3,Patrick Côté,def.,/wiki/Patrick_C%C3%B4t%C3%A9_(fighter),Scott Smith,/wiki/Scott_Smith_(fighter),"Decision (unanimous) (30–27, 30–27, 30–27)",Ultimate Fighting Championship,5:00,Mandalay Bay Events Center
"Las Vegas, Nevada","February 3, 2007",Middleweight,1,Terry Martin,def.,/wiki/Terry_Martin_(fighter),Jorge Rivera,/wiki/Jorge_Rivera_(fighter),KO (punches),Ultimate Fighting Championship,0:14,Mandalay Bay Events Center
"Las Vegas, Nevada","February 3, 2007",Lightweight,3,Frankie Edgar,def.,/wiki/Frankie_Edgar,Tyson Griffin,/wiki/Tyson_Griffin,"Decision (unanimous) (29–28, 29–28, 30–27)",Ultimate Fighting Championship,5:00,Mandalay Bay Events Center
"Las Vegas, Nevada","February 3, 2007",Light Heavyweight,3,Lyoto Machida,def.,/wiki/Lyoto_Machida,Sam Hoger,/wiki/Sam_Hoger,"Decision (unanimous) (30–27, 30–27, 30–27)",Ultimate Fighting Championship,5:00,Mandalay Bay Events Center
"Las Vegas, Nevada","February 3, 2007",Lightweight,3,Dustin Hazelett,def.,/wiki/Dustin_Hazelett,Diego Saraiva,/wiki/Diego_Saraiva,"Decision (unanimous) (30–27, 30–27, 30–27)",Ultimate Fighting Championship,5:00,Mandalay Bay Events Center
Columbus,"March 3, 2007",Heavyweight,5,Randy Couture,def.,/wiki/Randy_Couture,Tim Sylvia,/wiki/Tim_Sylvia,"Decision (unanimous) (50–45, 50–45, 50–45)",Ultimate Fighting Championship,5:00,Nationwide Arena
Columbus,"March 3, 2007",Middleweight,1,Martin Kampmann,def.,/wiki/Martin_Kampmann,Drew McFedries,/wiki/Drew_McFedries,Submission (arm-triangle),Ultimate Fighting Championship,4:06,Nationwide Arena
Columbus,"March 3, 2007",Middleweight,2,Rich Franklin,def.,/wiki/Rich_Franklin,Jason MacDonald,/wiki/Jason_MacDonald,TKO (corner stoppage),Ultimate Fighting Championship,5:00,Nationwide Arena
Columbus,"March 3, 2007",Welterweight,3,Matt Hughes,def.,/wiki/Matt_Hughes_(fighter),Chris Lytle,/wiki/Chris_Lytle,Decision (Unanimous),Ultimate Fighting Championship,0:34,Nationwide Arena
Columbus,"March 3, 2007",Light Heavyweight,2,Jason Lambert,def.,/wiki/Jason_Lambert_(fighter),Renato Sobral,/wiki/Renato_Sobral,KO (punch),Ultimate Fighting Championship,3:36,Nationwide Arena
Columbus,"March 3, 2007",Light Heavyweight,1,Matt Hamill,def.,/wiki/Matt_Hamill,,,TKO (punches),Ultimate Fighting Championship,4:00,Nationwide Arena
Columbus,"March 3, 2007",Welterweight,2,Jon Fitch,def.,/wiki/Jon_Fitch,Luigi Fioravanti,/wiki/Luigi_Fioravanti,Submission (rear-naked choke),Ultimate Fighting Championship,3:05,Nationwide Arena
Columbus,"March 3, 2007",Lightweight,3,Gleison Tibau,def.,/wiki/Gleison_Tibau,Jason Dent,/wiki/Jason_Dent,"Decision (unanimous) (30–27, 30–27, 30–27)",Ultimate Fighting Championship,5:00,Nationwide Arena
Columbus,"March 3, 2007",Lightweight,1,Jamie Varner,def.,/wiki/Jamie_Varner,,,TKO (rear-naked choke),Ultimate Fighting Championship,1:34,Nationwide Arena
Ultimate Fighting Championship,19,Heavyweight,5,Randy Couture,def.,/wiki/Randy_Couture,Tim Sylvia,/wiki/Tim_Sylvia,"Unanimous decision (50–45, 50–45, 50–45)",2006 in UFC,5:00,2008 in UFC
Ultimate Fighting Championship,19,Welterweight,1,Matt Serra,def.,/wiki/Matt_Serra,Georges St-Pierre,/wiki/Georges_St-Pierre,TKO (punches),2006 in UFC,3:25,2008 in UFC
Ultimate Fighting Championship,19,Light Heavyweight,1,Quinton Jackson,def.,/wiki/Quinton_Jackson,Chuck Liddell,/wiki/Chuck_Liddell,TKO (punches),2006 in UFC,1:53,2008 in UFC
Ultimate Fighting Championship,19,Middleweight,1,Anderson Silva,def.,/wiki/Anderson_Silva,Nate Marquardt,/wiki/Nate_Marquardt,TKO (punches),2006 in UFC,4:50,2008 in UFC
Ultimate Fighting Championship,19,Lightweight,5,Sean Sherk,def.,/wiki/Sean_Sherk,Hermes Franca,/wiki/Hermes_Franca,"Decision (unanimous) (50–45, 50–45, 49–46)",2006 in UFC,5:00,2008 in UFC
Ultimate Fighting Championship,19,Heavyweight,3,Randy Couture,def.,/wiki/Randy_Couture,Gabriel Gonzaga,/wiki/Gabriel_Gonzaga,TKO (punches),2006 in UFC,1:37,2008 in UFC
Ultimate Fighting Championship,19,Light Heavyweight,5,Quinton Jackson,def.,/wiki/Quinton_Jackson,Dan Henderson,/wiki/Dan_Henderson,"Decision (unanimous) (48–47, 49–46, 49–46)",2006 in UFC,5:00,2008 in UFC
Ultimate Fighting Championship,19,Middleweight,2,Anderson Silva,def.,/wiki/Anderson_Silva,Rich Franklin,/wiki/Rich_Franklin,TKO (knees),2006 in UFC,1:07,2008 in UFC
Ultimate Fighting Championship,19,Welterweight,2,Georges St-Pierre,def.,/wiki/Georges_St-Pierre,Matt Hughes,/wiki/Matt_Hughes_(fighter),Verbal submission (armbar),2006 in UFC,4:54,2008 in UFC
Ultimate Fighting Championship,19,Lightweight,1,Joe Stevenson,def.,/wiki/Joe_Stevenson,Melvin Guillard,/wiki/Melvin_Guillard,Submission (guillotine choke),2006 in UFC,0:27,2008 in UFC
Ultimate Fighting Championship,19,Heavyweight,3,Justin McCully,def.,/wiki/Justin_McCully,Antoni Hardonk,/wiki/Antoni_Hardonk,"Decision (unanimous) (30–27, 30–27, 30–27)",2006 in UFC,5:00,2008 in UFC
Ultimate Fighting Championship,19,Lightweight,3,Kenny Florian,def.,/wiki/Kenny_Florian,Dokonjonosuke Mishima,/wiki/Dokonjonosuke_Mishima,Submission (rear-naked choke),2006 in UFC,3:57,2008 in UFC
Ultimate Fighting Championship,19,Light Heavyweight,2,Wilson Gouveia,def.,/wiki/Wilson_Gouveia,Seth Petruzelli,/wiki/Seth_Petruzelli,Submission (guillotine choke),2006 in UFC,0:39,2008 in UFC
Ultimate Fighting Championship,19,Welterweight,3,Drew Fickett,def.,/wiki/Drew_Fickett,Keita Nakamura,/wiki/Keita_Nakamura,"Decision (unanimous) (29–27, 29–27, 30–26)",2006 in UFC,5:00,2008 in UFC
Ultimate Fighting Championship,19,Lightweight,1,Kurt Pellegrino,def.,/wiki/Kurt_Pellegrino,Nate Mohr,/wiki/Nate_Mohr,Submission (ankle lock),2006 in UFC,2:58,2008 in UFC
Ultimate Fighting Championship,19,Welterweight,3,Kuniyoshi Hironaka,def.,/wiki/Kuniyoshi_Hironaka,Forrest Petz,/wiki/Forrest_Petz,"Decision (unanimous) (30–27, 30–27, 29–28)",2006 in UFC,5:00,2008 in UFC
Ultimate Fighting Championship,19,Welterweight,3,Roan Carneiro,def.,/wiki/Roan_Carneiro,Rich Clementi,/wiki/Rich_Clementi,"Decision (unanimous) (30–27, 30–27, 30–27)",2006 in UFC,5:00,2008 in UFC
Ultimate Fighting Championship,19,Lightweight,3,Thiago Tavares,def.,/wiki/Thiago_Tavares,Naoyuki Kotani,/wiki/Naoyuki_Kotani,"Decision (unanimous) (30–27, 30–27, 30–27)",2006 in UFC,5:00,2008 in UFC
city,date,fightClass,fightRound,fighterOne,fighterOneResult,fighterOneUrl,fighterTwo,fighterTwoUrl,method,promotion,time,venue
Houston,"April 7, 2007",Welterweight,1,Matt Serra,def.,/wiki/Matt_Serra,Georges St-Pierre,/wiki/Georges_St-Pierre,TKO (punches),Ultimate Fighting Championship,3:25,Toyota Center
Houston,"April 7, 2007",Welterweight,3,Josh Koscheck,def.,/wiki/Josh_Koscheck,Diego Sanchez,/wiki/Diego_Sanchez,"Decision (unanimous) (30–27, 30–27, 30–27)",Ultimate Fighting Championship,5:00,Toyota Center
Houston,"April 7, 2007",Lightweight,3,Roger Huerta,def.,/wiki/Roger_Huerta,Leonard Garcia,/wiki/Leonard_Garcia,"Decision (unanimous) (30–27, 30–27, 30–27)",Ultimate Fighting Championship,5:00,Toyota Center
Houston,"April 7, 2007",Middleweight,3,Yushin Okami,def.,/wiki/Yushin_Okami,Mike Swick,/wiki/Mike_Swick,"Decision (unanimous) (29–28, 29–28, 30–27)",Ultimate Fighting Championship,5:00,Toyota Center
Houston,"April 7, 2007",Middleweight,2,Kendall Grove,def.,/wiki/Kendall_Grove,Alan Belcher,/wiki/Alan_Belcher,Technical Submission (d'arce choke),Ultimate Fighting Championship,4:42,Toyota Center
Houston,"April 7, 2007",Heavyweight,3,Heath Herring,def.,/wiki/Heath_Herring,Brad Imes,/wiki/Brad_Imes,"Decision (unanimous) (30–27, 30–27, 30–27)",Ultimate Fighting Championship,5:00,Toyota Center
Houston,"April 7, 2007",Middleweight,3,Thales Leites,def.,/wiki/Thales_Leites,Pete Sell,/wiki/Pete_Sell,"Decision (unanimous) (30–27, 30–27, 30–27)",Ultimate Fighting Championship,5:00,Toyota Center
Houston,"April 7, 2007",Welterweight,2,Marcus Davis,def.,/wiki/Marcus_Davis,Pete Spratt,/wiki/Pete_Spratt,Submission (ankle lock),Ultimate Fighting Championship,2:57,Toyota Center
Houston,"April 7, 2007",Welterweight,2,Luke Cummo,def.,/wiki/Luke_Cummo,Josh Haynes,/wiki/Josh_Haynes,TKO (punch),Ultimate Fighting Championship,2:45,Toyota Center
Manchester,"April 21, 2007",Heavyweight,1,Gabriel Gonzaga,def.,/wiki/Gabriel_Gonzaga,Mirko Filipović,/wiki/Mirko_Filipovi%C4%87,KO (head kick),Ultimate Fighting Championship,4:51,Manchester Evening News Arena
Manchester,"April 21, 2007",Heavyweight,3,Andrei Arlovski,def.,/wiki/Andrei_Arlovski,Fabrício Werdum,/wiki/Fabr%C3%ADcio_Werdum,"Decision (unanimous) (30–27, 30–27, 30–27)",Ultimate Fighting Championship,5:00,Manchester Evening News Arena
Manchester,"April 21, 2007",Light Heavyweight,2,Michael Bisping,def.,/wiki/Michael_Bisping,Elvis Sinosic,/wiki/Elvis_Sinosic,TKO (punches),Ultimate Fighting Championship,1:40,Manchester Evening News Arena
Manchester,"April 21, 2007",Light Heavyweight,3,Lyoto Machida,def.,/wiki/Lyoto_Machida,David Heath,/wiki/David_Heath_(fighter),"Decision (unanimous) (30–27, 30–26, 30–27)",Ultimate Fighting Championship,5:00,Manchester Evening News Arena
Manchester,"April 21, 2007",Heavyweight,3,Cheick Kongo,def.,/wiki/Cheick_Kongo,Assuerio Silva,/wiki/Assuerio_Silva,"Decision (majority) (29–28, 29–28, 28–28)",Ultimate Fighting Championship,5:00,Manchester Evening News Arena
Manchester,"April 21, 2007",Lightweight,1,Terry Etim,def.,/wiki/Terry_Etim,Matt Grice,/wiki/Matt_Grice,Submission (guillotine choke),Ultimate Fighting Championship,4:48,Manchester Evening News Arena
Manchester,"April 21, 2007",Lightweight,2,Junior Assuncao,def.,/wiki/Junior_Assuncao,,,Submission (rear-naked choke),Ultimate Fighting Championship,1:55,Manchester Evening News Arena
Manchester,"April 21, 2007",Light Heavyweight,1,Alessio Sakara,def.,/wiki/Alessio_Sakara,,,TKO (punches),Ultimate Fighting Championship,1:44,Manchester Evening News Arena
Manchester,"April 21, 2007",Welterweight,1,Jess Liaudin,def.,/wiki/Jess_Liaudin,Dennis Siver,/wiki/Dennis_Siver,Submission (armbar),Ultimate Fighting Championship,1:19,Manchester Evening News Arena
Manchester,"April 21, 2007",Welterweight,3,Paul Taylor,def.,/wiki/Paul_Taylor_(fighter),,,TKO (head kick and punches),Ultimate Fighting Championship,0:37,Manchester Evening News Arena
