city,date,fightClass,fightRound,fighterOne,fighterOneResult,fighterOneUrl,fighterTwo,fighterTwoUrl,method,promotion,time,venue
"Cedar Rapids, Iowa","July 16, 1999",Heavyweight,1,Maurice Smith,def.,/wiki/Maurice_Smith_(kickboxer),Marco Ruas,/wiki/Marco_Ruas,TKO (corner stoppage),Ultimate Fighting Championship,5:00,Five Seasons Events Center
"Cedar Rapids, Iowa","July 16, 1999",Welterweight,2,Pat Miletich,def.,/wiki/Pat_Miletich,Andre Pederneiras,/wiki/Andre_Pederneiras,TKO (doctor stoppage),Ultimate Fighting Championship,2:20,Five Seasons Events Center
"Cedar Rapids, Iowa","July 16, 1999",Light Heavyweight,1,Jeremy Horn,def.,/wiki/Jeremy_Horn,Daiju Takase,/wiki/Daiju_Takase,TKO (punches),Ultimate Fighting Championship,4:41,Five Seasons Events Center
"Cedar Rapids, Iowa","July 16, 1999",Light Heavyweight,1,Paul Jones,def.,/wiki/Paul_Jones_(mixed_martial_artist),,,Submission (rear-naked choke),Ultimate Fighting Championship,4:20,Five Seasons Events Center
"Cedar Rapids, Iowa","July 16, 1999",Heavyweight,2,Tsuyoshi Kosaka,def.,/wiki/Tsuyoshi_Kosaka,Tim Lajcik,/wiki/Tim_Lajcik,TKO (corner stoppage),Ultimate Fighting Championship,5:00,Five Seasons Events Center
"Cedar Rapids, Iowa","July 16, 1999",Light Heavyweight,2,Eugene Jackson,def.,/wiki/Eugene_Jackson,Royce Alger,/wiki/Royce_Alger,KO (punch),Ultimate Fighting Championship,1:19,Five Seasons Events Center
"Cedar Rapids, Iowa","July 16, 1999",Heavyweight,1,Andre Roberts,def.,/wiki/Andre_Roberts_(mixed_martial_artist),Ron Waterman,/wiki/Ron_Waterman,KO (punch),Ultimate Fighting Championship,2:51,Five Seasons Events Center
"Cedar Rapids, Iowa","July 16, 1999",Heavyweight,2,Travis Fulton,def.,/wiki/Travis_Fulton,,,Decision (unanimous),Ultimate Fighting Championship,5:00,Five Seasons Events Center
Lake Charles,"September 24, 1999",Light Heavyweight,4,Frank Shamrock,def.,/wiki/Frank_Shamrock,Tito Ortiz,/wiki/Tito_Ortiz,Submission (punches),Ultimate Fighting Championship,4:42,Lake Charles Civic Center
Lake Charles,"September 24, 1999",Lightweight,3,Jens Pulver,vs.,/wiki/Jens_Pulver,,,Draw,Ultimate Fighting Championship,5:00,Lake Charles Civic Center
Lake Charles,"September 24, 1999",Heavyweight,1,Brad Kohler,def.,/wiki/Brad_Kohler,,,KO (punch),Ultimate Fighting Championship,0:30,Lake Charles Civic Center
Lake Charles,"September 24, 1999",Heavyweight,3,Tim Lajcik,vs.,/wiki/Tim_Lajcik,Ron Waterman,/wiki/Ron_Waterman,Draw,Ultimate Fighting Championship,5:00,Lake Charles Civic Center
Lake Charles,"September 24, 1999",Lightweight,3,John Lewis,def.,,Lowell Anderson,,TKO (corner stoppage),Ultimate Fighting Championship,0:13,Lake Charles Civic Center
Lake Charles,"September 24, 1999",Lightweight,3,Matt Hughes,def.,/wiki/Matt_Hughes_(fighter),,,Decision (unanimous),Ultimate Fighting Championship,5:00,Lake Charles Civic Center
Lake Charles,"September 24, 1999",Heavyweight,1,Jeremy Horn,def.,/wiki/Jeremy_Horn,,,Submission (armlock),Ultimate Fighting Championship,2:08,Lake Charles Civic Center
Lake Charles,"September 24, 1999",Light Heavyweight,1,Chuck Liddell,def.,/wiki/Chuck_Liddell,Paul Jones,/wiki/Paul_Jones_(mixed_martial_artist),TKO (cut),Ultimate Fighting Championship,3:53,Lake Charles Civic Center
Tokyo,"November 19, 1999",Heavyweight,5,Kevin Randleman,def.,/wiki/Kevin_Randleman,Pete Williams,/wiki/Pete_Williams_(mixed_martial_artist),Unanimous decision,Ultimate Fighting Championship,5:00,Tokyo Bay NK Hall
Tokyo,"November 19, 1999",Heavyweight,3,Pedro Rizzo,def.,/wiki/Pedro_Rizzo,Tsuyoshi Kosaka,/wiki/Tsuyoshi_Kosaka,TKO (referee stoppage due to strikes),Ultimate Fighting Championship,1:17,Tokyo Bay NK Hall
Tokyo,"November 19, 1999",Middleweight,1,Joe Slick,def.,/wiki/Joe_Slick,Jason Delucia,/wiki/Jason_Delucia,TKO (verbal submission due to knee injury),Ultimate Fighting Championship,1:28,Tokyo Bay NK Hall
Tokyo,"November 19, 1999",Middleweight,3,Eugene Jackson,def.,,,/wiki/Keiichiro_Yamamiya,KO,Ultimate Fighting Championship,3:12,Tokyo Bay NK Hall
Tokyo,"November 19, 1999",Middleweight,2,Kenichi Yamamoto,def.,/wiki/Kenichi_Yamamoto_(fighter),Katsuhisa Fujii,/wiki/Katsuhisa_Fujii,Submission (kneebar),Ultimate Fighting Championship,4:15,Tokyo Bay NK Hall
Tokyo,"November 19, 1999",Middleweight,2,Katsuhisa Fujii,def.,/wiki/Katsuhisa_Fujii,,,TKO (referee stoppage due to strikes),Ultimate Fighting Championship,3:14,Tokyo Bay NK Hall
Tokyo,"November 19, 1999",Middleweight,3,Kenichi Yamamoto,def.,/wiki/Kenichi_Yamamoto_(fighter),Daiju Takase,/wiki/Daiju_Takase,Unanimous decision,Ultimate Fighting Championship,5:00,Tokyo Bay NK Hall
Lake Charles,"March 10, 2000",Heavyweight,1,Tedd Williams,def.,/wiki/Tedd_Williams,,,TKO (punches),Ultimate Fighting Championship,3:23,Lake Charles Civic Center
Lake Charles,"March 10, 2000",Middleweight,3,Lance Gibson,def.,/wiki/Lance_Gibson,,,KO (knee),Ultimate Fighting Championship,3:35,Lake Charles Civic Center
Lake Charles,"March 10, 2000",Lightweight,3,Dave Menne,def.,/wiki/Dave_Menne,Fabiano Iha,/wiki/Fabiano_Iha,Decision (unanimous),Ultimate Fighting Championship,5:00,Lake Charles Civic Center
Lake Charles,"March 10, 2000",Lightweight,2,Bob Cook,def.,,,/wiki/Tiki_Ghosn,Submission (rear-naked choke),Ultimate Fighting Championship,1:29,Lake Charles Civic Center
Lake Charles,"March 10, 2000",Lightweight,2,Jens Pulver,def.,/wiki/Jens_Pulver,,,TKO (punches),Ultimate Fighting Championship,2:41,Lake Charles Civic Center
Lake Charles,"March 10, 2000",Heavyweight,1,Scott Adams,def.,,,/wiki/Ian_Freeman,Submission (achilles lock),Ultimate Fighting Championship,3:09,Lake Charles Civic Center
