city,date,event,fightClass,fightRound,fighterOne,fighterOneResult,fighterOneUrl,fighterTwo,fighterTwoUrl,method,promotion,time,venue
Birmingham,"May 7, 1999",UFC 20: Battle for the Gold,Middleweight,,Wanderlei Silva,def.,/wiki/Wanderlei_Silva,,,KO (knee),Ultimate Fighting Championship,02:53,Boutwell Auditorium
Birmingham,"May 7, 1999",UFC 20: Battle for the Gold,Lightweight,,Marcelo Mello,def.,,Dave Roberts,,TKO (punches),Ultimate Fighting Championship,01:23,Boutwell Auditorium
Birmingham,"May 7, 1999",UFC 20: Battle for the Gold,Lightweight,,LaVerne Clark,def.,/wiki/LaVerne_Clark,Fabiano Iha,/wiki/Fabiano_Iha,TKO (doctor stoppage),Ultimate Fighting Championship,01:33,Boutwell Auditorium
Birmingham,"May 7, 1999",UFC 20: Battle for the Gold,Heavyweight,,Ron Waterman,def.,/wiki/Ron_Waterman,,,TKO (punches),Ultimate Fighting Championship,00:28,Boutwell Auditorium
"Cedar Rapids, Iowa","July 16, 1999",UFC 21: Return of the Champions,Heavyweight,1,Maurice Smith,def.,/wiki/Maurice_Smith_(kickboxer),Marco Ruas,/wiki/Marco_Ruas,TKO (corner stoppage),Ultimate Fighting Championship,05:00,Five Seasons Events Center
"Cedar Rapids, Iowa","July 16, 1999",UFC 21: Return of the Champions,Lightweight,2,Pat Miletich,def.,/wiki/Pat_Miletich,Andre Pederneiras,/wiki/Andre_Pederneiras,TKO (doctor stoppage),Ultimate Fighting Championship,02:20,Five Seasons Events Center
"Cedar Rapids, Iowa","July 16, 1999",UFC 21: Return of the Champions,Middleweight,1,Jeremy Horn,def.,/wiki/Jeremy_Horn,Daiju Takase,/wiki/Daiju_Takase,TKO (punches),Ultimate Fighting Championship,04:41,Five Seasons Events Center
"Cedar Rapids, Iowa","July 16, 1999",UFC 21: Return of the Champions,Middleweight,1,Paul Jones,def.,/wiki/Paul_Jones_(mixed_martial_artist),,,Submission (rear-naked choke),Ultimate Fighting Championship,04:20,Five Seasons Events Center
"Cedar Rapids, Iowa","July 16, 1999",UFC 21: Return of the Champions,Heavyweight,2,Tsuyoshi Kosaka,def.,/wiki/Tsuyoshi_Kosaka,Tim Lajcik,/wiki/Tim_Lajcik,TKO (corner stoppage),Ultimate Fighting Championship,05:00,Five Seasons Events Center
"Cedar Rapids, Iowa","July 16, 1999",UFC 21: Return of the Champions,Middleweight,2,Eugene Jackson,def.,/wiki/Eugene_Jackson,Royce Alger,/wiki/Royce_Alger,KO (punch),Ultimate Fighting Championship,01:19,Five Seasons Events Center
"Cedar Rapids, Iowa","July 16, 1999",UFC 21: Return of the Champions,Heavyweight,1,Andre Roberts,def.,/wiki/Andre_Roberts_(mixed_martial_artist),Ron Waterman,/wiki/Ron_Waterman,KO (punch),Ultimate Fighting Championship,02:51,Five Seasons Events Center
"Cedar Rapids, Iowa","July 16, 1999",UFC 21: Return of the Champions,Heavyweight,2,Travis Fulton,def.,/wiki/Travis_Fulton,,,Decision (unanimous),Ultimate Fighting Championship,05:00,Five Seasons Events Center
Lake Charles,"September 24, 1999",UFC 22: Only One Can be Champion,Middleweight,4,Frank Shamrock,def.,/wiki/Frank_Shamrock,Tito Ortiz,/wiki/Tito_Ortiz,Submission (punches),Ultimate Fighting Championship,04:42,Lake Charles Civic Center
Lake Charles,"September 24, 1999",UFC 22: Only One Can be Champion,Lightweight,3,Jens Pulver,vs.,/wiki/Jens_Pulver,,,Draw,Ultimate Fighting Championship,05:00,Lake Charles Civic Center
Lake Charles,"September 24, 1999",UFC 22: Only One Can be Champion,Heavyweight,1,Brad Kohler,def.,/wiki/Brad_Kohler,,,KO (punch),Ultimate Fighting Championship,00:30,Lake Charles Civic Center
Lake Charles,"September 24, 1999",UFC 22: Only One Can be Champion,Heavyweight,3,Tim Lajcik,vs.,/wiki/Tim_Lajcik,Ron Waterman,/wiki/Ron_Waterman,Draw,Ultimate Fighting Championship,05:00,Lake Charles Civic Center
Lake Charles,"September 24, 1999",UFC 22: Only One Can be Champion,Lightweight,3,John Lewis,def.,,Lowell Anderson,,TKO (corner stoppage),Ultimate Fighting Championship,00:13,Lake Charles Civic Center
Lake Charles,"September 24, 1999",UFC 22: Only One Can be Champion,Lightweight,3,Matt Hughes,def.,/wiki/Matt_Hughes_(fighter),,,Decision (unanimous),Ultimate Fighting Championship,05:00,Lake Charles Civic Center
Lake Charles,"September 24, 1999",UFC 22: Only One Can be Champion,Heavyweight,1,Jeremy Horn,def.,/wiki/Jeremy_Horn,,,Submission (armlock),Ultimate Fighting Championship,02:08,Lake Charles Civic Center
Lake Charles,"September 24, 1999",UFC 22: Only One Can be Champion,Middleweight,1,Chuck Liddell,def.,/wiki/Chuck_Liddell,Paul Jones,/wiki/Paul_Jones_(mixed_martial_artist),TKO (cut),Ultimate Fighting Championship,03:53,Lake Charles Civic Center
Tokyo,"November 19, 1999",UFC 23: Ultimate Japan 2,Heavyweight,5,Kevin Randleman,def.,/wiki/Kevin_Randleman,Pete Williams,/wiki/Pete_Williams_(mixed_martial_artist),Unanimous decision,Ultimate Fighting Championship,05:00,Tokyo Bay NK Hall
Tokyo,"November 19, 1999",UFC 23: Ultimate Japan 2,Heavyweight,3,Pedro Rizzo,def.,/wiki/Pedro_Rizzo,Tsuyoshi Kosaka,/wiki/Tsuyoshi_Kosaka,TKO (referee stoppage due to strikes),Ultimate Fighting Championship,01:17,Tokyo Bay NK Hall
Tokyo,"November 19, 1999",UFC 23: Ultimate Japan 2,Middleweight,1,Joe Slick,def.,/wiki/Joe_Slick,Jason Delucia,/wiki/Jason_Delucia,TKO (verbal submission due to knee injury),Ultimate Fighting Championship,01:28,Tokyo Bay NK Hall
Tokyo,"November 19, 1999",UFC 23: Ultimate Japan 2,Middleweight,3,Eugene Jackson,def.,,,/wiki/Keiichiro_Yamamiya,KO,Ultimate Fighting Championship,03:12,Tokyo Bay NK Hall
